code,pattern,liability,reason,details
Ａ,デマンド,,デマンド対応の為、停台させた時,
Ｃ,金型替,段替,金型の取り替えの為に停台した時,"●寸法確認の為に一旦、立上げ作業を止め、急冷結果を待っている時間を含む<br>●夜勤中、量産機（他機台）の条件調整の為に、段替を途中で中断する場合、中断した時間は、【ＡＩ】で計上する<br>●夜勤で段替後にトラブル発生しそのまま停台、【Ｍ】、【Ｈ】、【Ｄ】、【Ｚ】に振り分けられない場合など"
Ｄ,金型故障,"金型保全",金型不調及び修理等で停台した時,●計画的でない金型の不調や修理、清掃(ガス、油、結露等)にて停台した場合
Ｅ,その他,,ｅｔｃの理由で停台した時,
Ｆ,生産計画終了,"生産管理",生産計画数量を予定より早く達成した為、停台した時,
Ｇ,原料替,段替,原料の変更の為、停台した時,"●成形機停止しない場合でも、原料替中で量産状態にない時に使用する<br>●中空成形で重量のみ変更となり品種が変わる場合など<br>●再生原料使用時、生産途中で材料、配合比率を変更する場合<br>●発泡ビーズ成形の場合"
Ｈ,付帯設備,保全,付帯設備不調及び修理等で停台した時,●成形機に付帯する設備故障(取出機、混合機、温水器、チラー、搬送コンベア、ＦＡライン、コンプレッサー、ボイラー等)
Ｉ,色　替,段替,色相の変更の為、停台した時,"●成形機停止しない場合でも、色替中で量産状態にない時に使用する<br>●３者確認後、色相不良が発生し、パージ等した場合など<br>●型替後の打出において、形状、寸法に問題はないが、色抜きが必要な場合など"
Ｊ,条件調整,段替,条件調整の為、停台した時,"●成形機停止しない場合でも、条件調整中で量産状態にない時に使用する<br>●夜勤等で不良発生し、原因究明できずに停台した場合で、【Ｍ】、【Ｈ】、【Ｄ】、【Ｚ】に振り分けられない場合など"
Ｋ,金型待ち,"生産管理",生産計画はあるが金型到着を待って、停台した時,
Ｌ,供給部材待ち,"生産管理",供給部材が入荷しないため、停台した時,●自動車部品等で受け箱の入荷待ちにて停台する場合
Ｍ,機台故障,保全,機台不調及び修理等で停台した時,※機台故障による生産不能状態の場合は、故障期間中の全てを「Ｍ」で計上する。
Ｎ,段替色抜,段替,金型交換前に色抜きのため、停台した時,●金型交換前に機台停止させ、色替・色抜きする場合<br>●金型交換前に生産前仕掛金型にて色抜きする場合
Ｏ,導電替,段替,導電の色抜きのため停台した時,●導電成形後に色抜きをする場合<br>●金型の前回生産色が導電にて、打出後、導電の色抜きが発生した場合<br>●金型内の導電が抜けずに、生産中に金型分解清掃する場合など
Ｐ,生産未計画,,生産計画が組んでいない為、停台した時,"※生産するものが無く、生産予定が無い場合は、「Ｐ」で計上する。<br>※生産キャパオーバー時は、移管生産の引当対象とする。"
Ｑ,計画保全,,機械保全等の理由で計画的に停台させた時,
Ｒ,スキット待ち,,"溶着パレット生産時、相手型生産スキット待ちの為、停台した時",●パレット生産において、サイクル差が原因で相手型生産スキット待ちをする場合
Ｓ,２次加工,,２次加工を行う為、停台させた時,●パレット生産における、溶着確認待ちなど
Ｔ,成形試験（本部）,,製造本部担当者がトライを行った時,
ＡＴ,成形試験（工場）,,製造本部の指示を受け、工場がトライを行った時,
Ｕ,入子替,段替,金型降機を伴わない入子替で停台した時,●年月マーク変更・交換<br>●プランクの厚み変更の為の段替など
Ｖ,降機入子替,段替,金型降機を伴う入子替で停台した時,●金型降機を伴う年月マーク交換※外段取りの場合は計上しない。
Ｗ,労　務,成形,人員不足及び不測の欠勤者があって停台した時,"●成形作業者が、人員的に対応不可能となって停台する場合など。<br>※成形機操業＝フル操業(受注負荷に合わせた機台数)が基本であり、作業者・段替者不足により、生産すべきところを停台している場合は、「Ｗ」で計上する。"
Ｘ,付帯設備段替,段替,付帯設備（ライン）の段替により成形が停台した時,●成形機に付帯する設備段替(ＦＡライン等)により、成形機を停台する場合
Ｙ,異物,段替,異物不良が原因により停台した時,"●成形機停止しない場合でも、打出時に異物が出て量産状態にない時に使用する<br>●３者確認後、異物不良が発生し、パージ等した場合など<br>●金型交換後の打出しにおいて、形状、寸法に問題はないが、異物抜きが必要な場合"
Ｚ,材料,段替,材料の不良、不足、納入待ち等で停台した時,●原料トラブル<br>●着色剤<br>●原料不良が原因でノズルスクリーン清掃など<br>●着色剤切れ(供給忘れ、ブリッジ等)など
ＡＡ,金型メンテ,"金型保全",成形機に登機した状態で金型メンテナンスした時,●降機前に金型メンテナンス(防錆剤塗布・清掃・グリスアップ等)を実施する場合
ＡＢ,段替待ち,段替,段替人員の不足により停台した時,●段替人員不足により段替待ちする場合
ＡＣ,連休後立上,,長期連休後の立上げにより停台した時　,●長期連休（非操業日）後の立上げ
ＡＤ,停電・断水,,停電や断水により停台した時,●天災等で、停電や断水が発生した場合
ＡＥ,漏電調査,,漏電を調査するために停台した時,
ＡＦ,"供給部材待ち（自責）","生産管理",供給箱やダンボールが無いため停台した時,●供給箱やダンボールなどの手配漏れや遅れにより停台した場合（自責）
ＡＧ,置場管理異常,"生産管理",置場が指示（確保）出来ず、停台した時,"●生産管理責任の停台<br>●お店が一杯になり、停台させる場合"
ＡＨ,スクリュー抜き,段替,スクリュー抜きを行い、停台した時,"●清掃の為にスクリューを抜く場合<br>●チェックリングの確認や交換の為に抜く場合"
ＡＩ,段替中断,段替,他機台のトラブル対応で段替を中断した時,●段替中に他機台でアンドンが鳴り、対応を行う為に段替を中断した場合
ＡＪ,クレーン待ち,段替,クレーンが空いておらず、段替待ちした時,●クレーンが他の場所で使用中の為、段替待ちする場合
ＨＡ,材料（本部責任）,"製造本部",資材部責任により、材料の不良、不足、納入待ち等で停台した時,●原料トラブル<br>●着色剤、原料待ち
